Id,Dataset,Accuracy,F1-Score,Hamming Loss
daptE6A-1,after,0.8874734607218684,0.9176954732510287,0.01132342533616419
daptE6A-2,after,0.8726114649681529,0.9193548387096775,0.01132342533616419
daptE6A-3,after,0.8853503184713376,0.9176954732510287,0.01132342533616419
daptE6A-4,after,0.8980891719745223,0.9205366357069145,0.010898796886058033
daptE6A-5,after,0.851380042462845,0.9005025125628141,0.014012738853503185
daptE6B-1,before,0.8912579957356077,0.9259259259259259,0.01023454157782516
daptE6B-2,before,0.8955223880597015,0.9144050104384134,0.011656005685856433
daptE6B-3,before,0.8912579957356077,0.9190871369294605,0.011087420042643924
daptE6B-4,before,0.8784648187633263,0.9185336048879837,0.011371712864250177
daptE6B-5,before,0.8464818763326226,0.9032258064516129,0.013646055437100213
