Id,Preprocess,SVD,Model,Multilabel Approach,Accuracy,F1-Score,Hamming Loss
stem_svd100_svc_cc,stem,svd100,svc,cc,"[0.8422174840085288, 0.835820895522388, 0.837953091684435, 0.8336886993603412, 0.8294243070362474, 0.8400852878464818, 0.8400852878464818, 0.8443496801705757, 0.8400852878464818, 0.8315565031982942]","[0.8767720828789531, 0.8655097613882864, 0.8695652173913043, 0.8642779587404995, 0.8618063112078346, 0.8736383442265795, 0.8726877040261154, 0.8751357220412596, 0.8707926167209555, 0.8639825897714907]","[0.016062544420753375, 0.017626154939587774, 0.017057569296375266, 0.017768301350390904, 0.018052594171997158, 0.01648898365316276, 0.016631130063965886, 0.016346837242359632, 0.01691542288557214, 0.017768301350390904]"
stemstop_svd100_svc_br,stemstop,svd100,svc,br,"[0.8251599147121536, 0.814498933901919, 0.8230277185501066, 0.8187633262260128, 0.8272921108742004, 0.8166311300639659, 0.8230277185501066, 0.8187633262260128, 0.8208955223880597, 0.8251599147121536]","[0.8893854748603351, 0.8851351351351351, 0.8921348314606741, 0.8888888888888888, 0.891377379619261, 0.888638920134983, 0.891377379619261, 0.8876404494382022, 0.8881431767337807, 0.8923766816143497]","[0.014072494669509595, 0.014498933901918977, 0.013646055437100213, 0.014072494669509595, 0.013788201847903341, 0.014072494669509595, 0.013788201847903341, 0.014214641080312722, 0.014214641080312722, 0.013646055437100213]"
stemstop_svd100_svc_cc,stemstop,svd100,svc,cc,"[0.8592750533049041, 0.8592750533049041, 0.8592750533049041, 0.8592750533049041, 0.8635394456289979, 0.8678038379530917, 0.8656716417910447, 0.8614072494669509, 0.8656716417910447, 0.8699360341151386]","[0.8815368196371398, 0.8805970149253732, 0.8824786324786325, 0.8824786324786325, 0.8877005347593583, 0.887940234791889, 0.884861407249467, 0.8846153846153846, 0.8846153846153846, 0.8900747065101388]","[0.01577825159914712, 0.015920398009950248, 0.015636105188343994, 0.015636105188343994, 0.014925373134328358, 0.014925373134328358, 0.01535181236673774, 0.01535181236673774, 0.01535181236673774, 0.014641080312722104]"
stemstop_svd250_svc_br,stemstop,svd250,svc,br,"[0.8017057569296375, 0.7974413646055437, 0.8017057569296375, 0.8038379530916845, 0.7995735607675906, 0.8038379530916845, 0.8059701492537313, 0.7995735607675906, 0.7974413646055437, 0.7974413646055437]","[0.88558352402746, 0.8832951945080091, 0.88558352402746, 0.8873720136518772, 0.8853211009174312, 0.8858447488584476, 0.8904109589041096, 0.8843069873997708, 0.8832951945080091, 0.8850574712643677]","[0.014214641080312722, 0.014498933901918977, 0.014214641080312722, 0.014072494669509595, 0.014214641080312722, 0.014214641080312722, 0.013646055437100213, 0.014356787491115849, 0.014498933901918977, 0.014214641080312722]"
stemstop_svd250_svc_cc,stemstop,svd250,svc,cc,"[0.8571428571428571, 0.8571428571428571, 0.8528784648187633, 0.8507462686567164, 0.8571428571428571, 0.8486140724946695, 0.8464818763326226, 0.8486140724946695, 0.8528784648187633, 0.8443496801705757]","[0.8917748917748918, 0.8900862068965518, 0.8876889848812095, 0.8833693304535637, 0.8862660944206008, 0.8824163969795038, 0.8793103448275863, 0.8833693304535637, 0.8838709677419354, 0.8812095032397409]","[0.014214641080312722, 0.014498933901918977, 0.014783226723525231, 0.01535181236673774, 0.015067519545131485, 0.015493958777540867, 0.015920398009950248, 0.01535181236673774, 0.01535181236673774, 0.015636105188343994]"
stemstop_svd500_sgd_logreg_cc,stemstop,svd500,sgd_logreg,cc,"[0.7505330490405118, 0.7974413646055437, 0.7761194029850746, 0.603411513859275, 0.605543710021322, 0.7974413646055437, 0.8294243070362474, 0.7803837953091685, 0.835820895522388, 0.8230277185501066]","[0.8404494382022472, 0.8656084656084656, 0.8577449947312961, 0.7592067988668554, 0.7440076701821668, 0.8679653679653679, 0.8925619834710744, 0.8558855885588558, 0.8986125933831376, 0.8831725616291534]","[0.020184790334044064, 0.018052594171997158, 0.019189765458422176, 0.03624733475479744, 0.03795309168443497, 0.01734186211798152, 0.014783226723525231, 0.018621179815209665, 0.013503909026297086, 0.015493958777540867]"
