Id,Learning Method,Model,Accuracy,F1-Score,Hamming Loss
daptE1-4,unsupervised,dapt,0.8528784648187633,0.9008097165991903,0.013930348258706468
daptE2-5,unsupervised,dapt,0.8656716417910447,0.893042575285566,0.014641080312722104
daptE1-5,unsupervised,dapt,0.8869936034115139,0.9136316337148803,0.01179815209665956
daptE3-1,unsupervised,dapt,0.8720682302771855,0.9118852459016394,0.01222459132906894
daptE5-1,unsupervised,dapt,0.6400441663599559,0.7280375343795502,0.0412464728254202
daptE3-2,unsupervised,dapt,0.8720682302771855,0.9118852459016394,0.01222459132906894
daptE4-1,unsupervised,dapt,0.2260127931769723,0.23728813559322035,0.1023454157782516
daptE4-2,unsupervised,dapt,0.8784648187633263,0.9202453987730062,0.011087420042643924
daptE5-2,unsupervised,dapt,0.6175929333824071,0.7171428571428571,0.0437246963562753
daptE3-3,unsupervised,dapt,0.8464818763326226,0.8967611336032388,0.014498933901918977
daptE4-3,unsupervised,dapt,0.8997867803837953,0.9208333333333334,0.010803127221037668
daptE5-3,unsupervised,dapt,0.6131762973868237,0.7216854110565499,0.04311127469022206
daptE3-4,unsupervised,dapt,0.8614072494669509,0.9074262461851476,0.012935323383084577
daptE4-4,unsupervised,dapt,0.8592750533049041,0.9089068825910931,0.01279317697228145
daptE3-5,unsupervised,dapt,0.8805970149253731,0.9092783505154638,0.012508884150675196
daptE5-4,unsupervised,dapt,0.6234817813765182,0.7208480565371024,0.04264507422402159
daptE4-5,unsupervised,dapt,0.8976545842217484,0.9287925696594427,0.009808102345415778
daptE5-5,unsupervised,dapt,0.6348914243651086,0.7148463047743624,0.042792295423874374
daptE6-1,unsupervised,dapt,0.8912579957356077,0.9259259259259259,0.01023454157782516
daptE7-1,unsupervised,dapt,0.8550106609808102,0.9008097165991903,0.013930348258706468
daptE6-2,unsupervised,dapt,0.8955223880597015,0.9144050104384134,0.011656005685856433
daptE6-3,unsupervised,dapt,0.8912579957356077,0.9190871369294605,0.011087420042643924
daptE7-2,unsupervised,dapt,0.8656716417910447,0.9103869653767821,0.012508884150675196
daptE6-4,unsupervised,dapt,0.8784648187633263,0.9185336048879837,0.011371712864250177
daptE7-3,unsupervised,dapt,0.8400852878464818,0.8984924623115578,0.014356787491115849
daptE6-5,unsupervised,dapt,0.8464818763326226,0.9032258064516129,0.013646055437100213
daptE7-4,unsupervised,dapt,0.8912579957356077,0.9192546583850932,0.011087420042643924
daptE8-1,unsupervised,dapt,0.8592750533049041,0.8902691511387164,0.015067519545131485
daptE7-5,unsupervised,dapt,0.9019189765458422,0.9254658385093169,0.01023454157782516
daptE8-2,unsupervised,dapt,0.8571428571428571,0.9092741935483871,0.01279317697228145
daptE8-3,unsupervised,dapt,0.8784648187633263,0.9164969450101833,0.011656005685856433
daptE8-4,unsupervised,dapt,0.8592750533049041,0.899795501022495,0.013930348258706468
daptE9-1,unsupervised,dapt,0.8635394456289979,0.9087221095334685,0.01279317697228145
daptE10-1,unsupervised,dapt,0.8827292110874201,0.925586136595311,0.010376687988628288
daptE10-2,unsupervised,dapt,0.8699360341151386,0.9102040816326531,0.012508884150675196
daptE10-3,unsupervised,dapt,0.8550106609808102,0.8813209494324045,0.016346837242359632
daptE10-4,unsupervised,dapt,0.8464818763326226,0.9049049049049048,0.013503909026297086
daptE10-5,unsupervised,dapt,0.8827292110874201,0.8958990536277602,0.014072494669509595
daptE8-5,unsupervised,dapt,0.8592750533049041,0.8902691511387164,0.015067519545131485
daptE9-2,unsupervised,dapt,0.8635394456289979,0.9087221095334685,0.01279317697228145
daptE9-3,unsupervised,dapt,0.8678038379530917,0.9179331306990881,0.011513859275053304
daptE9-4,unsupervised,dapt,0.8678038379530917,0.9159067882472138,0.01179815209665956
daptE9-5,unsupervised,dapt,0.9040511727078892,0.9284974093264248,0.009808102345415778
gan-bert-1,semi-supervised,gan-bert,0.8805970149253731,0.9156378600823045,0.011656005685856433
gan-bert-2,semi-supervised,gan-bert,0.8486140724946695,0.9019211324570273,0.013788201847903341
gan-bert-3,semi-supervised,gan-bert,0.8592750533049041,0.9127789046653144,0.01222459132906894
gan-bert-4,semi-supervised,gan-bert,0.8784648187633263,0.9111570247933884,0.01222459132906894
gan-bert-5,semi-supervised,gan-bert,0.8486140724946695,0.9019211324570273,0.013788201847903341
gan-bert-dapt-1,semi-supervised,gan-bert-dapt,0.8656716417910447,0.9185929648241206,0.011513859275053304
gan-bert-dapt-2,semi-supervised,gan-bert-dapt,0.8720682302771855,0.9129989764585466,0.012082444918265814
gan-bert-dapt-3,semi-supervised,gan-bert-dapt,0.8656716417910447,0.9148073022312373,0.011940298507462687
gan-bert-dapt-4,semi-supervised,gan-bert-dapt,0.8251599147121536,0.8988095238095238,0.014498933901918977
gan-bert-dapt-5,semi-supervised,gan-bert-dapt,0.8486140724946695,0.8996960486322189,0.014072494669509595
indolem-base-2,supervised,indolem,0.8614072494669509,0.8927835051546391,0.014783226723525231
bertm-base-2,supervised,bertm,0.8464818763326226,0.8725388601036268,0.017484008528784647
indolem-base-3,supervised,indolem,0.8678038379530917,0.893970893970894,0.014498933901918977
bertm-base-3,supervised,bertm,0.8059701492537313,0.8328141225337488,0.022885572139303482
indolem-base-4,supervised,indolem,0.8400852878464818,0.8839103869653768,0.0162046908315565
bertm-base-4,supervised,bertm,0.7846481876332623,0.8285714285714286,0.023880597014925373
indolem-base-5,supervised,indolem,0.8656716417910447,0.9014373716632443,0.013646055437100213
bertm-base-5,supervised,bertm,0.8230277185501066,0.8335078534031414,0.022601279317697228
